timestamp,customers,revenue,transactions,avg_order_value,predicted_sales,labour_cost,staff_count,avg_wait_time,drive_thru_time,labour_efficiency,sales_vs_prediction_diff
2026-01-02 07:00:00,42,376.55,35,10.43,379.84,66.39,5,2.79,3.29,5.67,-3.29
2026-01-02 08:00:00,56,563.45,46,12.09,537.04,60.82,5,3.21,5.3,9.26,26.41
2026-01-02 09:00:00,59,498.62,55,8.58,465.82,63.63,5,2.46,3.38,7.84,32.8
2026-01-02 10:00:00,61,473.85,55,8.26,439.52,63.58,5,3.67,3.53,7.45,34.33
2026-01-02 11:00:00,77,616.38,72,8.33,601.22,89.0,7,5.97,5.76,6.93,15.16
2026-01-02 12:00:00,80,774.41,78,9.97,800.6,95.73,7,5.18,5.78,8.09,-26.19
2026-01-02 13:00:00,58,575.55,50,11.1,567.33,66.79,5,3.03,4.39,8.62,8.22
2026-01-02 14:00:00,106,1110.05,86,12.76,1193.61,92.21,7,5.36,5.63,12.04,-83.56
2026-01-02 15:00:00,45,402.33,41,10.23,434.77,64.4,5,3.87,3.79,6.25,-32.44
2026-01-02 16:00:00,46,449.19,42,10.81,427.6,69.65,5,2.83,4.28,6.45,21.59
2026-01-02 17:00:00,36,281.89,33,8.06,300.42,44.38,3,2.8,4.78,6.35,-18.53
2026-01-02 18:00:00,12,80.0,9,9.03,82.6,28.7,2,2.12,4.3,2.79,-2.6
2026-01-02 19:00:00,13,80.0,10,8.45,76.16,27.34,2,3.65,3.58,2.93,3.84
2026-01-02 20:00:00,5,25.72,4,6.27,27.97,29.06,2,3.51,3.64,0.89,-2.25
2026-01-02 21:00:00,6,35.0,5,6.61,34.81,28.64,2,2.0,3.85,1.22,0.19
2026-01-02 22:00:00,8,75.04,7,10.04,68.62,25.18,2,2.29,5.01,2.98,6.42
2026-01-02 23:00:00,5,35.81,4,8.68,38.02,27.28,2,2.33,5.66,1.31,-2.21
2026-01-03 00:00:00,31,289.71,27,10.4,311.26,55.27,4,2.75,3.06,5.24,-21.55
2026-01-03 01:00:00,32,168.07,26,6.15,155.6,55.56,4,3.17,4.37,3.03,12.47
2026-01-03 02:00:00,27,274.54,25,10.98,259.15,48.1,4,3.67,3.69,5.71,15.39
2026-01-03 03:00:00,28,209.96,27,8.32,219.89,48.08,4,3.47,4.4,4.37,-9.93
2026-01-03 04:00:00,34,261.39,30,8.93,249.55,57.4,4,3.07,4.51,4.55,11.84
2026-01-03 05:00:00,29,199.81,24,8.14,206.38,56.28,4,3.91,3.09,3.55,-6.57
2026-01-03 06:00:00,33,224.48,31,7.06,244.18,56.18,4,2.88,3.26,4.0,-19.7
2026-01-03 07:00:00,79,644.36,68,10.01,598.94,104.91,8,4.91,6.39,6.14,45.42
2026-01-03 08:00:00,77,608.76,57,11.37,624.94,104.89,8,3.65,7.03,5.8,-16.18
2026-01-03 09:00:00,78,879.06,74,12.29,936.28,110.15,8,5.49,7.47,7.98,-57.22
2026-01-03 10:00:00,80,608.17,61,10.18,562.02,100.08,8,6.34,7.53,6.08,46.15
2026-01-03 11:00:00,106,1119.71,101,10.58,1163.35,114.78,8,6.28,7.31,9.76,-43.64
2026-01-03 12:00:00,131,1349.74,125,10.12,1425.64,106.2,8,4.95,6.98,12.71,-75.9
2026-01-03 13:00:00,104,951.4,91,10.19,942.89,101.28,8,4.67,6.87,9.39,8.51
2026-01-03 14:00:00,97,699.58,77,9.11,676.54,99.79,8,4.47,4.42,7.01,23.04
2026-01-03 15:00:00,56,382.02,52,7.97,410.34,87.72,6,3.98,4.01,4.35,-28.32
2026-01-03 16:00:00,57,528.88,55,8.93,510.24,73.15,6,3.21,5.25,7.23,18.64
2026-01-03 17:00:00,58,390.1,48,8.42,428.01,81.79,6,2.15,4.79,4.77,-37.91
2026-01-03 18:00:00,40,309.54,31,10.15,313.87,89.77,6,2.14,5.14,3.45,-4.33
2026-01-03 19:00:00,30,140.88,23,6.47,141.44,50.05,4,3.32,5.17,2.81,-0.56
2026-01-03 20:00:00,24,228.36,22,9.92,208.76,58.24,4,2.65,4.86,3.92,19.6
2026-01-03 21:00:00,31,246.72,25,9.83,237.03,59.99,4,2.37,4.97,4.11,9.69
2026-01-03 22:00:00,22,155.55,20,8.44,150.06,49.11,4,3.64,4.41,3.17,5.49
2026-01-03 23:00:00,26,183.88,20,8.83,179.0,59.79,4,3.01,3.38,3.08,4.88
2026-01-04 00:00:00,33,278.39,29,10.01,286.02,48.13,4,2.92,5.58,5.78,-7.63
2026-01-04 01:00:00,32,225.21,30,7.47,215.86,50.96,4,2.18,5.39,4.42,9.35
2026-01-04 02:00:00,34,299.74,28,10.92,318.41,48.79,4,2.52,3.74,6.14,-18.67
2026-01-04 03:00:00,34,213.53,30,7.28,222.3,50.03,4,2.67,4.93,4.27,-8.77
2026-01-04 04:00:00,31,210.64,24,9.52,196.96,58.05,4,3.39,3.07,3.63,13.68
2026-01-04 05:00:00,32,171.09,25,6.85,177.11,52.18,4,2.48,5.58,3.28,-6.02
2026-01-04 06:00:00,39,214.53,33,6.04,200.98,59.21,4,3.47,3.35,3.62,13.55
2026-01-04 07:00:00,82,669.37,77,8.92,614.03,109.0,8,5.51,5.96,6.14,55.34
2026-01-04 08:00:00,75,672.29,74,9.29,682.59,108.67,8,5.55,6.73,6.19,-10.3
2026-01-04 09:00:00,109,635.82,86,7.82,621.35,99.01,8,3.76,4.75,6.42,14.47
2026-01-04 10:00:00,83,458.31,69,6.39,424.77,99.22,8,5.39,5.21,4.62,33.54
2026-01-04 11:00:00,98,871.73,86,10.05,837.64,113.44,8,3.68,6.37,7.68,34.09
2026-01-04 12:00:00,95,633.17,73,9.17,689.7,113.37,8,4.02,6.12,5.58,-56.53
2026-01-04 13:00:00,107,832.02,85,10.35,783.03,116.06,8,5.2,6.36,7.17,48.99
2026-01-04 14:00:00,100,1000.5,91,11.73,1056.74,114.16,8,6.65,7.62,8.76,-56.24
2026-01-04 15:00:00,40,277.28,32,8.69,251.22,73.76,6,2.07,4.86,3.76,26.06
2026-01-04 16:00:00,58,460.11,57,8.4,420.85,88.02,6,2.53,4.64,5.23,39.26
2026-01-04 17:00:00,58,306.13,51,6.26,285.37,76.92,6,3.25,4.15,3.98,20.76
2026-01-04 18:00:00,42,226.8,36,6.14,226.76,78.91,6,3.71,5.78,2.87,0.04
2026-01-04 19:00:00,34,173.85,27,6.51,161.33,55.95,4,3.41,3.22,3.11,12.52
2026-01-04 20:00:00,22,168.54,21,8.01,169.8,57.59,4,3.74,5.32,2.93,-1.26
2026-01-04 21:00:00,32,302.92,28,10.99,317.11,48.82,4,2.17,4.56,6.2,-14.19
2026-01-04 22:00:00,30,238.57,27,8.56,238.99,49.01,4,3.33,4.68,4.87,-0.42
2026-01-04 23:00:00,26,198.78,22,8.91,206.89,50.55,4,3.74,3.7,3.93,-8.11
2026-01-05 00:00:00,5,24.81,3,7.97,24.2,26.58,2,3.68,3.25,0.93,0.61
2026-01-05 01:00:00,10,91.12,8,10.9,82.55,29.44,2,2.35,3.39,3.1,8.57
2026-01-05 02:00:00,9,58.98,7,9.06,63.83,24.82,2,3.25,4.87,2.38,-4.85
2026-01-05 03:00:00,7,39.67,5,8.32,36.21,25.24,2,2.96,3.94,1.57,3.46
2026-01-05 04:00:00,5,24.02,4,6.29,23.28,24.02,2,3.67,3.03,1.0,0.74
2026-01-05 05:00:00,7,39.56,6,7.0,39.82,27.47,2,3.64,5.88,1.44,-0.26
2026-01-05 06:00:00,13,109.51,11,10.63,118.22,26.8,2,3.01,4.71,4.09,-8.71
2026-01-05 07:00:00,61,704.27,60,11.51,752.62,63.84,5,4.34,5.58,11.03,-48.35
2026-01-05 08:00:00,56,501.92,47,10.29,539.91,74.73,5,3.59,3.52,6.72,-37.99
2026-01-05 09:00:00,63,680.57,56,11.9,676.19,61.0,5,4.56,5.84,11.16,4.38
2026-01-05 10:00:00,62,509.64,59,9.18,557.42,73.08,5,4.43,5.79,6.97,-47.78
2026-01-05 11:00:00,79,906.43,71,11.97,876.41,98.94,7,5.55,7.06,9.16,30.02
2026-01-05 12:00:00,80,693.27,62,11.18,760.08,103.29,7,6.14,6.41,6.71,-66.81
2026-01-05 13:00:00,80,667.25,60,11.36,629.01,104.24,7,4.83,6.53,6.4,38.24
2026-01-05 14:00:00,79,748.31,65,11.12,777.28,99.85,7,4.58,5.36,7.49,-28.97
2026-01-05 15:00:00,37,269.06,30,9.2,256.64,36.03,3,2.27,5.71,7.47,12.42
2026-01-05 16:00:00,42,276.1,37,7.41,297.2,63.33,5,3.93,3.06,4.36,-21.1
2026-01-05 17:00:00,38,242.35,32,7.84,256.69,42.56,3,2.25,5.16,5.69,-14.34
2026-01-05 18:00:00,14,91.8,12,7.42,95.79,27.08,2,2.51,3.24,3.39,-3.99
2026-01-05 19:00:00,20,113.73,15,8.08,113.05,41.67,3,2.63,4.72,2.73,0.68
2026-01-05 20:00:00,5,23.57,4,6.09,24.59,29.86,2,2.19,3.19,0.79,-1.02
2026-01-05 21:00:00,11,80.86,8,10.91,79.01,29.62,2,2.2,4.48,2.73,1.85
2026-01-05 22:00:00,5,25.37,4,6.7,26.26,29.16,2,3.51,5.17,0.87,-0.89
2026-01-05 23:00:00,11,59.32,9,7.02,56.92,29.35,2,2.02,4.96,2.02,2.4
2026-01-06 00:00:00,7,57.39,6,10.27,57.52,26.7,2,3.11,5.18,2.15,-0.13
2026-01-06 01:00:00,12,78.49,11,7.5,81.76,24.82,2,3.14,3.25,3.16,-3.27
2026-01-06 02:00:00,13,63.8,9,6.92,62.82,27.55,2,3.26,4.58,2.32,0.98
2026-01-06 03:00:00,10,96.78,9,10.99,106.32,26.88,2,2.19,4.88,3.6,-9.54
2026-01-06 04:00:00,5,38.93,4,10.03,39.16,29.21,2,3.76,5.78,1.33,-0.23
2026-01-06 05:00:00,5,43.01,4,10.39,46.53,25.74,2,3.11,4.22,1.67,-3.52
2026-01-06 06:00:00,13,83.5,12,6.83,87.69,28.73,2,2.23,4.37,2.91,-4.19
2026-01-06 07:00:00,65,437.23,57,7.59,427.67,60.94,5,4.58,3.65,7.17,9.56
2026-01-06 08:00:00,59,530.02,46,12.28,557.56,67.59,5,3.57,5.45,7.84,-27.54
2026-01-06 09:00:00,61,613.55,50,11.78,573.93,60.97,5,4.17,3.9,10.06,39.62
2026-01-06 10:00:00,58,362.5,45,8.22,355.65,64.72,5,2.0,3.07,5.6,6.85
2026-01-06 11:00:00,86,660.61,76,8.67,635.88,88.35,7,3.59,6.75,7.48,24.73
2026-01-06 12:00:00,83,960.71,72,12.72,1005.69,104.89,7,4.38,7.27,9.16,-44.98
2026-01-06 13:00:00,84,767.81,73,10.5,732.79,100.96,7,4.71,7.43,7.61,35.02
2026-01-06 14:00:00,77,925.12,75,12.69,941.54,104.06,7,6.1,6.86,8.89,-16.42
2026-01-06 15:00:00,26,165.44,20,8.74,155.61,37.65,3,2.34,5.01,4.39,9.83
2026-01-06 16:00:00,41,371.39,36,9.99,357.25,67.74,5,3.9,5.94,5.48,14.14
2026-01-06 17:00:00,42,282.04,38,7.58,284.15,71.58,5,2.03,5.74,3.94,-2.11
2026-01-06 18:00:00,14,98.54,13,7.13,100.97,24.09,2,3.23,4.4,4.09,-2.43
2026-01-06 19:00:00,13,122.29,12,10.75,126.09,24.48,2,3.85,5.54,5.0,-3.8
2026-01-06 20:00:00,7,59.49,6,9.7,63.47,24.44,2,2.18,3.64,2.43,-3.98
2026-01-06 21:00:00,5,25.08,3,7.9,23.04,27.6,2,3.27,5.94,0.91,2.04
2026-01-06 22:00:00,7,43.33,5,9.34,41.14,25.23,2,2.44,4.87,1.72,2.19
2026-01-06 23:00:00,5,36.66,4,9.76,36.61,27.76,2,2.79,3.53,1.32,0.05
2026-01-07 00:00:00,5,30.23,4,7.89,31.79,24.99,2,3.54,3.6,1.21,-1.56
2026-01-07 01:00:00,7,31.22,5,6.7,33.4,25.93,2,2.12,3.38,1.2,-2.18
2026-01-07 02:00:00,14,80.12,11,6.91,83.75,29.62,2,3.04,4.11,2.7,-3.63
2026-01-07 03:00:00,5,24.52,3,7.64,25.56,25.27,2,3.43,5.56,0.97,-1.04
2026-01-07 04:00:00,11,105.73,9,10.95,105.18,25.47,2,2.17,5.4,4.15,0.55
2026-01-07 05:00:00,13,77.76,11,6.57,79.25,24.07,2,2.23,4.4,3.23,-1.49
2026-01-07 06:00:00,20,123.19,15,7.86,114.77,41.77,3,2.58,3.24,2.95,8.42
2026-01-07 07:00:00,58,435.79,47,8.67,448.72,69.45,5,2.01,3.37,6.27,-12.93
2026-01-07 08:00:00,61,601.13,59,10.34,639.93,64.76,5,3.58,4.05,9.28,-38.8
2026-01-07 09:00:00,57,386.03,45,8.45,407.71,74.54,5,3.46,3.37,5.18,-21.68
2026-01-07 10:00:00,65,430.85,61,6.65,427.57,65.1,5,5.73,4.1,6.62,3.28
2026-01-07 11:00:00,87,685.37,67,10.75,740.62,101.54,7,3.89,4.38,6.75,-55.25
2026-01-07 12:00:00,75,563.38,62,8.71,558.05,95.42,7,4.75,4.82,5.9,5.33
2026-01-07 13:00:00,87,648.38,83,8.32,637.91,100.7,7,5.1,6.27,6.44,10.47
2026-01-07 14:00:00,87,859.29,65,12.27,837.77,93.53,7,6.18,6.56,9.19,21.52
2026-01-07 15:00:00,40,223.11,34,7.11,244.91,70.93,5,2.95,4.28,3.15,-21.8
2026-01-07 16:00:00,39,266.0,34,7.72,292.51,44.3,3,3.62,3.62,6.0,-26.51
2026-01-07 17:00:00,46,448.45,44,10.25,438.84,60.11,5,2.23,3.87,7.46,9.61
2026-01-07 18:00:00,12,87.68,9,9.23,91.27,29.09,2,2.83,3.76,3.01,-3.59
2026-01-07 19:00:00,22,211.49,19,10.41,207.72,40.85,3,3.52,3.16,5.18,3.77
2026-01-07 20:00:00,5,28.3,4,7.59,28.8,27.7,2,3.93,5.75,1.02,-0.5
2026-01-07 21:00:00,5,34.73,4,9.19,34.52,29.6,2,2.95,5.45,1.17,0.21
2026-01-07 22:00:00,12,68.43,9,7.2,69.69,27.22,2,2.84,3.07,2.51,-1.26
2026-01-07 23:00:00,6,31.32,4,8.1,32.69,25.27,2,3.41,3.59,1.24,-1.37
2026-01-08 00:00:00,8,44.75,7,6.03,45.56,28.09,2,3.62,4.88,1.59,-0.81
2026-01-08 01:00:00,13,82.83,10,7.83,80.95,25.07,2,3.32,3.67,3.3,1.88
2026-01-08 02:00:00,5,35.56,4,8.4,33.24,26.52,2,3.68,3.14,1.34,2.32
2026-01-08 03:00:00,11,87.96,9,9.11,87.76,29.88,2,3.71,3.28,2.94,0.2
2026-01-08 04:00:00,8,67.54,7,8.94,71.31,29.99,2,2.07,5.87,2.25,-3.77
2026-01-08 05:00:00,11,55.51,9,6.56,50.0,25.11,2,3.19,3.24,2.21,5.51
2026-01-08 06:00:00,19,173.77,16,10.79,174.41,24.09,2,3.2,5.2,7.21,-0.64
2026-01-08 07:00:00,58,390.61,51,7.82,398.48,66.36,5,3.58,4.66,5.89,-7.87
2026-01-08 08:00:00,67,521.25,63,8.67,554.64,66.25,5,3.71,5.53,7.87,-33.39
2026-01-08 09:00:00,57,500.01,43,11.01,513.29,74.43,5,3.34,4.96,6.72,-13.28
2026-01-08 10:00:00,57,396.6,54,7.04,411.61,62.7,5,3.94,3.28,6.33,-15.01
2026-01-08 11:00:00,75,689.17,70,9.5,642.11,92.67,7,6.02,6.21,7.44,47.06
2026-01-08 12:00:00,87,733.8,71,10.19,765.3,98.74,7,5.56,7.09,7.43,-31.5
2026-01-08 13:00:00,78,883.8,67,12.3,894.08,92.63,7,5.32,6.26,9.54,-10.28
2026-01-08 14:00:00,75,527.11,56,9.15,563.57,100.41,7,6.47,6.6,5.25,-36.46
2026-01-08 15:00:00,41,327.86,33,9.66,331.67,64.75,5,3.97,3.79,5.06,-3.81
2026-01-08 16:00:00,40,206.17,32,6.78,198.91,74.77,5,3.02,3.46,2.76,7.26
2026-01-08 17:00:00,37,311.38,35,8.39,326.35,37.3,3,2.44,3.86,8.35,-14.97
2026-01-08 18:00:00,12,83.96,10,7.84,79.09,29.58,2,3.58,4.88,2.84,4.87
2026-01-08 19:00:00,10,95.62,9,10.29,101.36,27.01,2,3.98,5.42,3.54,-5.74
2026-01-08 20:00:00,5,36.69,4,9.24,35.48,27.72,2,2.16,3.37,1.32,1.21
2026-01-08 21:00:00,6,29.85,5,6.28,28.01,25.86,2,2.53,5.76,1.15,1.84
2026-01-08 22:00:00,5,37.61,4,9.03,36.09,29.49,2,2.06,3.11,1.28,1.52
2026-01-08 23:00:00,11,77.11,10,8.1,70.65,28.78,2,3.75,5.38,2.68,6.46
2026-01-09 00:00:00,8,68.11,6,10.68,67.6,29.96,2,2.81,4.31,2.27,0.51
2026-01-09 01:00:00,12,82.68,11,7.69,77.13,29.37,2,2.78,5.34,2.82,5.55
2026-01-09 02:00:00,5,36.44,4,9.03,37.44,24.54,2,2.97,3.99,1.48,-1.0
2026-01-09 03:00:00,5,34.6,4,8.7,33.4,25.24,2,2.83,4.87,1.37,1.2
2026-01-09 04:00:00,13,104.81,11,8.94,96.92,24.2,2,3.63,4.24,4.33,7.89
2026-01-09 05:00:00,5,29.56,4,7.07,29.3,28.36,2,2.87,4.07,1.04,0.26
2026-01-09 06:00:00,22,195.97,21,8.96,208.99,41.84,3,2.61,4.82,4.68,-13.02
2026-01-09 07:00:00,57,499.32,51,9.25,510.66,71.91,5,2.27,3.07,6.94,-11.34
2026-01-09 08:00:00,61,446.8,46,9.22,446.41,68.36,5,5.19,4.48,6.54,0.39
2026-01-09 09:00:00,67,721.53,61,11.75,651.01,65.67,5,4.78,5.4,10.99,70.52
2026-01-09 10:00:00,61,552.19,60,9.61,522.9,67.79,5,5.61,3.59,8.15,29.29
2026-01-09 11:00:00,82,819.91,81,10.35,788.67,102.12,7,5.93,6.52,8.03,31.24
2026-01-09 12:00:00,85,752.41,71,9.9,810.02,103.16,7,4.32,4.2,7.29,-57.61
2026-01-09 13:00:00,83,651.0,82,8.11,666.94,92.72,7,6.1,4.68,7.02,-15.94
2026-01-09 14:00:00,82,863.09,75,11.95,840.96,101.73,7,5.21,4.79,8.48,22.13
2026-01-09 15:00:00,47,378.6,40,9.25,383.93,62.34,5,3.58,5.48,6.07,-5.33
2026-01-09 16:00:00,47,454.61,46,9.8,485.44,66.39,5,3.73,3.58,6.85,-30.83
2026-01-09 17:00:00,42,362.72,37,10.41,392.45,64.85,5,2.52,5.0,5.59,-29.73
2026-01-09 18:00:00,10,63.87,9,6.63,61.44,28.67,2,2.52,6.0,2.23,2.43
2026-01-09 19:00:00,16,147.5,14,10.2,139.76,26.38,2,2.31,3.58,5.59,7.74
2026-01-09 20:00:00,5,37.2,4,9.26,34.88,28.86,2,3.97,6.0,1.29,2.32
2026-01-09 21:00:00,9,36.5,6,6.52,37.32,25.4,2,2.44,3.24,1.44,-0.82
2026-01-09 22:00:00,5,25.85,4,6.57,24.15,26.31,2,2.78,3.89,0.98,1.7
2026-01-09 23:00:00,8,53.93,6,8.84,52.87,29.06,2,3.59,4.07,1.86,1.06
2026-01-10 00:00:00,29,190.53,25,7.73,189.85,55.62,4,2.4,3.4,3.43,0.68
2026-01-10 01:00:00,28,221.31,24,9.84,230.23,59.78,4,3.54,4.53,3.7,-8.92
2026-01-10 02:00:00,34,192.69,29,7.0,198.95,59.45,4,3.23,3.14,3.24,-6.26
2026-01-10 03:00:00,25,227.65,21,10.39,235.94,55.11,4,2.92,5.99,4.13,-8.29
2026-01-10 04:00:00,25,191.21,19,9.52,205.56,49.57,4,3.17,4.32,3.86,-14.35
2026-01-10 05:00:00,28,242.16,26,8.64,266.33,59.95,4,3.36,4.9,4.04,-24.17
2026-01-10 06:00:00,39,240.03,38,6.85,253.23,51.39,4,2.68,5.37,4.67,-13.2
2026-01-10 07:00:00,82,689.63,78,9.36,748.65,110.68,8,4.64,7.53,6.23,-59.02
2026-01-10 08:00:00,76,649.92,59,10.92,669.1,104.5,8,3.35,6.67,6.22,-19.18
2026-01-10 09:00:00,76,722.72,73,10.43,674.45,97.72,8,4.57,6.22,7.4,48.27
2026-01-10 10:00:00,81,713.91,68,10.93,741.84,110.48,8,6.29,6.13,6.46,-27.93
2026-01-10 11:00:00,104,886.66,83,11.33,828.77,103.91,8,6.13,7.33,8.53,57.89
2026-01-10 12:00:00,107,853.4,81,10.86,837.61,119.64,8,3.39,5.02,7.13,15.79
2026-01-10 13:00:00,107,836.15,101,8.38,786.29,114.11,8,4.88,4.71,7.33,49.86
2026-01-10 14:00:00,97,1079.93,86,12.72,1186.4,101.02,8,5.78,5.56,10.69,-106.47
2026-01-10 15:00:00,58,438.97,46,8.96,482.69,83.35,6,2.24,4.46,5.27,-43.72
2026-01-10 16:00:00,59,352.8,47,7.12,324.56,79.56,6,3.65,4.28,4.43,28.24
2026-01-10 17:00:00,75,411.25,60,7.36,440.01,110.08,8,4.78,7.08,3.74,-28.76
2026-01-10 18:00:00,28,191.73,23,8.81,178.93,54.13,4,3.46,3.94,3.54,12.8
2026-01-10 19:00:00,30,192.32,24,8.66,202.06,54.99,4,2.42,3.4,3.5,-9.74
2026-01-10 20:00:00,16,126.34,15,8.46,135.91,36.15,3,2.75,4.83,3.49,-9.57
2026-01-10 21:00:00,24,108.43,18,6.47,105.56,54.44,4,2.12,5.82,1.99,2.87
2026-01-10 22:00:00,31,247.2,26,9.51,247.92,52.17,4,3.61,4.64,4.74,-0.72
2026-01-10 23:00:00,30,203.6,28,7.9,188.21,48.74,4,2.36,4.1,4.18,15.39
2026-01-11 00:00:00,25,221.88,21,10.0,208.75,59.5,4,3.76,4.12,3.73,13.13
2026-01-11 01:00:00,33,314.53,29,10.63,324.26,51.99,4,2.88,3.48,6.05,-9.73
2026-01-11 02:00:00,32,192.59,26,7.24,186.99,55.31,4,3.73,4.27,3.48,5.6
2026-01-11 03:00:00,23,157.87,17,9.73,150.07,57.91,4,3.65,5.45,2.73,7.8
2026-01-11 04:00:00,23,125.1,20,6.44,123.82,51.97,4,2.3,6.0,2.41,1.28
2026-01-11 05:00:00,29,267.96,28,9.03,271.46,59.48,4,2.91,6.0,4.51,-3.5
2026-01-11 06:00:00,31,184.48,25,7.41,187.23,49.06,4,2.1,3.93,3.76,-2.75
2026-01-11 07:00:00,79,829.6,69,11.72,909.98,110.93,8,5.74,6.27,7.48,-80.38
2026-01-11 08:00:00,59,468.49,45,10.82,487.12,77.42,6,3.4,5.23,6.05,-18.63
2026-01-11 09:00:00,77,610.71,72,9.21,563.34,118.11,8,4.89,4.37,5.17,47.37
2026-01-11 10:00:00,82,495.33,61,7.91,515.09,114.72,8,5.76,6.35,4.32,-19.76
2026-01-11 11:00:00,101,906.65,89,9.66,972.96,97.39,8,5.11,5.67,9.31,-66.31
2026-01-11 12:00:00,99,863.7,76,10.62,863.66,101.46,8,5.55,5.36,8.51,0.04
2026-01-11 13:00:00,95,964.96,93,11.14,953.3,98.07,8,4.16,5.8,9.84,11.66
2026-01-11 14:00:00,100,805.99,87,9.69,841.93,111.78,8,4.84,4.4,7.21,-35.94
2026-01-11 15:00:00,66,528.9,49,10.99,523.65,77.75,6,5.21,3.03,6.8,5.25
2026-01-11 16:00:00,67,628.19,65,9.36,673.77,77.25,6,6.39,3.09,8.13,-45.58
2026-01-11 17:00:00,62,545.09,49,10.73,514.96,80.84,6,5.4,4.36,6.74,30.13
2026-01-11 18:00:00,39,242.71,30,7.86,232.17,57.5,4,2.77,3.88,4.22,10.54
2026-01-11 19:00:00,31,188.72,27,6.56,192.5,57.6,4,3.56,5.03,3.28,-3.78
2026-01-11 20:00:00,29,202.11,26,7.46,183.41,56.58,4,3.68,5.62,3.57,18.7
2026-01-11 21:00:00,18,147.83,14,10.03,142.05,38.18,3,2.27,5.3,3.87,5.78
2026-01-11 22:00:00,24,241.06,23,10.39,252.4,48.75,4,2.39,5.21,4.94,-11.34
2026-01-11 23:00:00,21,176.9,18,9.39,172.88,59.31,4,3.79,4.81,2.98,4.02
2026-01-12 00:00:00,10,66.51,7,9.26,64.83,27.24,2,3.28,3.69,2.44,1.68
2026-01-12 01:00:00,5,35.65,4,9.02,32.56,29.16,2,3.26,3.02,1.22,3.09
2026-01-12 02:00:00,12,72.78,9,7.64,77.11,29.71,2,3.02,5.62,2.45,-4.33
2026-01-12 03:00:00,9,55.75,8,7.1,56.43,29.23,2,2.65,4.01,1.91,-0.68
